open,close,high,low,vol,amount,year,month,day,hour,minute,datetime,up_count,down_count
1900.34,1899.83,1901.07,1885.12,3455716.0,345584416.0,2017,11,27,10,30,2017-11-27 10:30,4,19
1899.54,1899.28,1900.96,1896.45,1628002.0,162813792.0,2017,11,27,11,30,2017-11-27 11:30,8,15
1898.8,1893.04,1899.0,1893.04,1205204.0,120534080.0,2017,11,27,14,0,2017-11-27 14:00,8,15
1893.15,1883.35,1894.11,1880.99,2653753.0,265388864.0,2017,11,27,15,0,2017-11-27 15:00,4,19
1881.31,1886.86,1894.72,1881.17,2578793.0,257892816.0,2017,11,28,10,30,2017-11-28 10:30,17,7
1886.64,1888.67,1891.03,1884.81,1437878.0,143802992.0,2017,11,28,11,30,2017-11-28 11:30,14,7
1888.67,1894.67,1894.9,1886.22,1502685.0,150283648.0,2017,11,28,14,0,2017-11-28 14:00,15,7
1894.4,1900.71,1900.91,1891.24,2557972.0,255811456.0,2017,11,28,15,0,2017-11-28 15:00,18,4
1902.48,1893.68,1906.52,1890.3,3256048.0,325618304.0,2017,11,29,10,30,2017-11-29 10:30,9,14
1893.43,1888.17,1893.62,1883.23,2454660.0,245480000.0,2017,11,29,11,30,2017-11-29 11:30,3,19
1888.15,1890.02,1890.14,1884.56,1830465.0,183061184.0,2017,11,29,14,0,2017-11-29 14:00,3,19
1890.11,1896.66,1898.55,1888.96,2421587.0,242173888.0,2017,11,29,15,0,2017-11-29 15:00,3,20
1894.57,1895.38,1899.27,1889.0,2162019.0,216215712.0,2017,11,30,10,30,2017-11-30 10:30,6,18
1895.23,1895.62,1896.82,1892.88,1269445.0,126959136.0,2017,11,30,11,30,2017-11-30 11:30,9,14
1895.76,1891.02,1897.48,1889.49,1310731.0,131087264.0,2017,11,30,14,0,2017-11-30 14:00,10,12
1890.89,1890.18,1891.19,1887.27,2363775.0,236391136.0,2017,11,30,15,0,2017-11-30 15:00,7,17
1888.2,1905.36,1905.36,1887.05,2819054.0,281918784.0,2017,12,1,10,30,2017-12-01 10:30,10,9
1905.49,1904.37,1908.0,1903.48,1676961.0,167711104.0,2017,12,1,11,30,2017-12-01 11:30,22,2
1904.23,1902.36,1907.28,1901.98,1532015.0,153216000.0,2017,12,1,14,0,2017-12-01 14:00,20,4
1902.35,1908.1,1908.6,1901.92,2156459.0,215660544.0,2017,12,1,15,0,2017-12-01 15:00,18,5
1904.19,1895.08,1904.19,1891.21,3225968.0,322609536.0,2017,12,4,10,30,2017-12-04 10:30,1,20
1895.12,1891.68,1895.14,1888.48,1770131.0,177027520.0,2017,12,4,11,30,2017-12-04 11:30,1,22
1891.8,1891.98,1896.06,1888.88,2076840.0,207697472.0,2017,12,4,14,0,2017-12-04 14:00,3,21
1892.5,1890.08,1892.64,1884.85,3090034.0,309018048.0,2017,12,4,15,0,2017-12-04 15:00,5,19
1886.01,1881.18,1891.68,1880.14,2296996.0,229713024.0,2017,12,5,10,30,2017-12-05 10:30,9,14
