open,close,high,low,vol,amount,year,month,day,hour,minute,datetime
13.85,13.66,13.85,13.46,76777800.0,1044037056.0,2017,11,28,10,30,2017-11-28 10:30
13.66,13.48,13.66,13.45,30020800.0,406513088.0,2017,11,28,11,30,2017-11-28 11:30
13.48,13.59,13.59,13.4,31304000.0,422401280.0,2017,11,28,14,0,2017-11-28 14:00
13.6,13.7,13.7,13.47,38540600.0,523588736.0,2017,11,28,15,0,2017-11-28 15:00
13.73,13.71,13.93,13.55,58934000.0,810854400.0,2017,11,29,10,30,2017-11-29 10:30
13.7,13.62,13.74,13.54,20959400.0,286038912.0,2017,11,29,11,30,2017-11-29 11:30
13.63,13.79,13.85,13.48,32977400.0,449154688.0,2017,11,29,14,0,2017-11-29 14:00
13.79,13.82,13.9,13.73,43538600.0,602264576.0,2017,11,29,15,0,2017-11-29 15:00
13.7,13.57,13.7,13.44,44521500.0,604149760.0,2017,11,30,10,30,2017-11-30 10:30
13.58,13.68,13.7,13.54,14764500.0,201236864.0,2017,11,30,11,30,2017-11-30 11:30
13.68,13.63,13.73,13.54,20540600.0,280377728.0,2017,11,30,14,0,2017-11-30 14:00
13.63,13.38,13.65,13.27,58136900.0,780936576.0,2017,11,30,15,0,2017-11-30 15:00
13.4,13.42,13.44,13.23,49687600.0,663536000.0,2017,12,1,10,30,2017-12-01 10:30
13.42,13.14,13.43,13.11,40006900.0,530050944.0,2017,12,1,11,30,2017-12-01 11:30
13.15,13.1,13.19,13.06,32193300.0,422392448.0,2017,12,1,14,0,2017-12-01 14:00
13.09,13.0,13.17,12.97,56605500.0,738320256.0,2017,12,1,15,0,2017-12-01 15:00
13.05,13.22,13.32,13.0,68505600.0,903473728.0,2017,12,4,10,30,2017-12-04 10:30
13.21,13.28,13.3,13.15,26184000.0,345714496.0,2017,12,4,11,30,2017-12-04 11:30
13.3,13.33,13.36,13.26,27594900.0,367392512.0,2017,12,4,14,0,2017-12-04 14:00
13.33,13.3,13.34,13.22,23117800.0,306734976.0,2017,12,4,15,0,2017-12-04 15:00
13.15,13.29,13.35,13.11,42925000.0,568796480.0,2017,12,5,10,30,2017-12-05 10:30
13.28,13.44,13.48,13.25,33189600.0,443988608.0,2017,12,5,11,30,2017-12-05 11:30
13.45,13.47,13.49,13.3,44194200.0,592792640.0,2017,12,5,14,0,2017-12-05 14:00
13.47,13.3,13.48,13.26,52059300.0,696290048.0,2017,12,5,15,0,2017-12-05 15:00
13.26,13.07,13.26,12.93,41625100.0,545031616.0,2017,12,6,10,30,2017-12-06 10:30
13.06,13.02,13.09,12.99,23471000.0,305710400.0,2017,12,6,11,30,2017-12-06 11:30
13.03,12.8,13.03,12.8,50211800.0,648655872.0,2017,12,6,14,0,2017-12-06 14:00
12.8,13.08,13.09,12.8,46676500.0,604770688.0,2017,12,6,15,0,2017-12-06 15:00
13.05,12.95,13.14,12.94,37787500.0,493382304.0,2017,12,7,10,30,2017-12-07 10:30
12.95,12.8,12.96,12.77,33809500.0,435419488.0,2017,12,7,11,30,2017-12-07 11:30
12.8,12.88,12.93,12.75,21261900.0,273336064.0,2017,12,7,14,0,2017-12-07 14:00
12.88,12.83,12.89,12.78,25336800.0,324815488.0,2017,12,7,15,0,2017-12-07 15:00
12.89,12.91,13.03,12.75,37179100.0,479634656.0,2017,12,8,10,30,2017-12-08 10:30
12.91,12.91,12.93,12.8,15983800.0,205532320.0,2017,12,8,11,30,2017-12-08 11:30
12.91,12.99,13.06,12.89,32209900.0,418461568.0,2017,12,8,14,0,2017-12-08 14:00
12.99,13.09,13.09,12.95,49758700.0,647794560.0,2017,12,8,15,0,2017-12-08 15:00
13.08,12.92,13.09,12.88,49217800.0,639854272.0,2017,12,11,10,30,2017-12-11 10:30
12.93,12.97,13.02,12.88,47149000.0,611120064.0,2017,12,11,11,30,2017-12-11 11:30
12.98,13.28,13.28,12.98,45290600.0,595202432.0,2017,12,11,14,0,2017-12-11 14:00
13.27,13.5,13.55,13.24,84537800.0,1134558720.0,2017,12,11,15,0,2017-12-11 15:00
13.4,13.3,13.48,13.25,59949000.0,799006144.0,2017,12,12,10,30,2017-12-12 10:30
13.3,13.13,13.34,13.11,47165200.0,623099072.0,2017,12,12,11,30,2017-12-12 11:30
13.12,13.13,13.19,13.08,33215100.0,435478144.0,2017,12,12,14,0,2017-12-12 14:00
13.13,13.02,13.17,13.02,34011200.0,444771584.0,2017,12,12,15,0,2017-12-12 15:00
13.0,13.03,13.06,12.91,41292800.0,535582112.0,2017,12,13,10,30,2017-12-13 10:30
13.03,12.9,13.04,12.88,20957500.0,271239840.0,2017,12,13,11,30,2017-12-13 11:30
12.9,13.1,13.11,12.89,27297800.0,355157440.0,2017,12,13,14,0,2017-12-13 14:00
13.11,13.13,13.2,13.0,39376700.0,517042688.0,2017,12,13,15,0,2017-12-13 15:00
13.15,13.14,13.31,13.07,41573300.0,548746432.0,2017,12,14,10,30,2017-12-14 10:30
13.14,13.06,13.16,13.03,14537600.0,190187392.0,2017,12,14,11,30,2017-12-14 11:30
13.08,12.97,13.1,12.95,18432100.0,239528384.0,2017,12,14,14,0,2017-12-14 14:00
12.97,13.0,13.03,12.91,25656700.0,332669696.0,2017,12,14,15,0,2017-12-14 15:00
12.9,12.78,12.92,12.75,34419900.0,441727392.0,2017,12,15,10,30,2017-12-15 10:30
12.78,12.74,12.78,12.68,28163600.0,358397024.0,2017,12,15,11,30,2017-12-15 11:30
12.74,12.81,12.87,12.7,19419000.0,248358912.0,2017,12,15,14,0,2017-12-15 14:00
12.81,12.72,12.82,12.7,27992700.0,356888704.0,2017,12,15,15,0,2017-12-15 15:00
12.73,12.81,12.9,12.7,36800400.0,472265568.0,2017,12,18,10,30,2017-12-18 10:30
12.82,12.71,12.84,12.7,13514500.0,172584928.0,2017,12,18,11,30,2017-12-18 11:30
12.71,12.7,12.75,12.64,15370100.0,195169216.0,2017,12,18,14,0,2017-12-18 14:00
12.69,12.75,12.78,12.68,14861400.0,189403072.0,2017,12,18,15,0,2017-12-18 15:00
12.79,12.84,12.94,12.74,48751000.0,626257408.0,2017,12,19,10,30,2017-12-19 10:30
12.84,13.05,13.12,12.84,69486704.0,904421248.0,2017,12,19,11,30,2017-12-19 11:30
13.04,13.26,13.32,13.04,71508400.0,944508544.0,2017,12,19,14,0,2017-12-19 14:00
13.25,13.28,13.31,13.18,50048100.0,663500288.0,2017,12,19,15,0,2017-12-19 15:00
13.2,13.22,13.25,13.13,40683600.0,536844960.0,2017,12,20,10,30,2017-12-20 10:30
13.23,13.26,13.31,13.22,35992000.0,477815520.0,2017,12,20,11,30,2017-12-20 11:30
13.27,13.24,13.28,13.2,15460700.0,204729472.0,2017,12,20,14,0,2017-12-20 14:00
13.24,13.26,13.27,13.17,18488200.0,244412160.0,2017,12,20,15,0,2017-12-20 15:00
13.18,13.4,13.55,13.17,57824000.0,775784064.0,2017,12,21,10,30,2017-12-21 10:30
13.4,13.63,13.65,13.35,40971000.0,554604160.0,2017,12,21,11,30,2017-12-21 11:30
13.63,13.54,13.68,13.5,25115900.0,341457408.0,2017,12,21,14,0,2017-12-21 14:00
13.54,13.54,13.63,13.48,24609400.0,333772032.0,2017,12,21,15,0,2017-12-21 15:00
13.5,13.54,13.63,13.45,31314000.0,423783264.0,2017,12,22,10,30,2017-12-22 10:30
13.54,13.55,13.61,13.5,13431700.0,181976864.0,2017,12,22,11,30,2017-12-22 11:30
13.55,13.51,13.56,13.48,10037700.0,135531264.0,2017,12,22,14,0,2017-12-22 14:00
13.5,13.52,13.55,13.47,19506600.0,263234368.0,2017,12,22,15,0,2017-12-22 15:00
13.52,13.76,13.85,13.52,50435500.0,693359744.0,2017,12,25,10,30,2017-12-25 10:30
13.76,13.57,13.77,13.55,31212500.0,425662464.0,2017,12,25,11,30,2017-12-25 11:30
13.58,13.35,13.61,13.32,34312900.0,461746560.0,2017,12,25,14,0,2017-12-25 14:00
13.36,13.25,13.36,13.16,42595800.0,564271872.0,2017,12,25,15,0,2017-12-25 15:00
13.26,13.37,13.49,13.2,38213100.0,511038176.0,2017,12,26,10,30,2017-12-26 10:30
13.38,13.35,13.4,13.23,17506700.0,233251488.0,2017,12,26,11,30,2017-12-26 11:30
13.35,13.43,13.46,13.32,15553300.0,208553408.0,2017,12,26,14,0,2017-12-26 14:00
13.43,13.66,13.68,13.41,41095700.0,557983168.0,2017,12,26,15,0,2017-12-26 15:00
13.58,13.58,13.77,13.55,51185400.0,699090688.0,2017,12,27,10,30,2017-12-27 10:30
13.58,13.57,13.72,13.53,21583600.0,294479104.0,2017,12,27,11,30,2017-12-27 11:30
13.57,13.44,13.59,13.38,21254600.0,286877056.0,2017,12,27,14,0,2017-12-27 14:00
13.44,13.29,13.46,13.19,42633000.0,567718144.0,2017,12,27,15,0,2017-12-27 15:00
13.28,13.31,13.37,13.02,34822100.0,459180032.0,2017,12,28,10,30,2017-12-28 10:30
13.31,13.37,13.39,13.28,13603800.0,181366528.0,2017,12,28,11,30,2017-12-28 11:30
13.36,13.22,13.46,13.13,41026900.0,544994944.0,2017,12,28,14,0,2017-12-28 14:00
13.21,13.21,13.35,13.09,65850200.0,867403008.0,2017,12,28,15,0,2017-12-28 15:00
13.21,13.21,13.43,13.19,36291500.0,482462496.0,2017,12,29,10,30,2017-12-29 10:30
13.21,13.24,13.31,13.16,14296100.0,189122720.0,2017,12,29,11,30,2017-12-29 11:30
13.26,13.2,13.29,13.12,19887800.0,262344832.0,2017,12,29,14,0,2017-12-29 14:00
13.21,13.3,13.33,13.19,27816100.0,369291968.0,2017,12,29,15,0,2017-12-29 15:00
13.35,13.85,13.9,13.32,102305800.0,1401205248.0,2018,1,2,10,30,2018-01-02 10:30
13.83,13.84,13.93,13.78,39010200.0,540003712.0,2018,1,2,11,30,2018-01-02 11:30
13.83,13.65,13.87,13.61,33530400.0,460397440.0,2018,1,2,14,0,2018-01-02 14:00
13.64,13.7,13.72,13.59,33312800.0,454937344.0,2018,1,2,15,0,2018-01-02 15:00
13.73,13.76,13.8,13.53,46618100.0,638587968.0,2018,1,3,10,30,2018-01-03 10:30
13.77,13.7,13.85,13.62,50864800.0,698608832.0,2018,1,3,11,30,2018-01-03 11:30
13.71,13.46,13.76,13.46,65275300.0,886035200.0,2018,1,3,14,0,2018-01-03 14:00
13.47,13.33,13.54,13.21,133491600.0,1782988800.0,2018,1,3,15,0,2018-01-03 15:00
13.32,13.29,13.33,13.14,58826300.0,778398912.0,2018,1,4,10,30,2018-01-04 10:30
13.29,13.33,13.37,13.22,35512300.0,472242240.0,2018,1,4,11,30,2018-01-04 11:30
13.34,13.16,13.35,13.15,59797600.0,789831936.0,2018,1,4,14,0,2018-01-04 14:00
13.16,13.25,13.28,13.15,31314700.0,414070528.0,2018,1,4,15,0,2018-01-04 15:00
13.21,13.22,13.27,13.17,33303000.0,440531072.0,2018,1,5,10,30,2018-01-05 10:30
13.22,13.21,13.23,13.15,24837700.0,327543488.0,2018,1,5,11,30,2018-01-05 11:30
13.22,13.25,13.34,13.2,37573200.0,499467968.0,2018,1,5,14,0,2018-01-05 14:00
13.25,13.3,13.3,13.23,25317300.0,335746944.0,2018,1,5,15,0,2018-01-05 15:00
13.25,13.04,13.26,13.03,58978800.0,774330048.0,2018,1,8,10,30,2018-01-08 10:30
